"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"445","KY","US",2020-03-10,6,0,0
"446","DC","US",2020-03-10,5,0,0
"447","NV","US",2020-03-10,4,0,0
"448","NH","US",2020-03-10,4,0,0
"449","MN","US",2020-03-10,3,0,0
"450","NE","US",2020-03-10,3,0,0
"451","OH","US",2020-03-10,3,0,0
"452","RI","US",2020-03-10,3,0,0
"453","WI","US",2020-03-10,3,0,1
"454","CT","US",2020-03-10,2,0,0
"455","HI","US",2020-03-10,2,0,0
"456","OK","US",2020-03-10,2,0,0
"457","UT","US",2020-03-10,2,0,0
"458","KS","US",2020-03-10,1,0,0
"459","LA","US",2020-03-10,1,0,0
"460","MO","US",2020-03-10,1,0,0
"461","VT","US",2020-03-10,1,0,0
"462","AK","US",2020-03-10,0,0,0
"463","AR","US",2020-03-10,0,0,0
"464","DE","US",2020-03-10,0,0,0
"465","ID","US",2020-03-10,0,0,0
"466","ME","US",2020-03-10,0,0,0
"467","MI","US",2020-03-10,0,0,0
"468","MS","US",2020-03-10,0,0,0
"469","MT","US",2020-03-10,0,0,0
"470","NM","US",2020-03-10,0,0,0
"471","ND","US",2020-03-10,0,0,0
"472","SD","US",2020-03-10,0,0,0
"473","WV","US",2020-03-10,0,0,0
"474","WY","US",2020-03-10,0,0,0
"475","WA","US",2020-03-11,366,29,1
"476","NY","US",2020-03-11,220,0,0
"477","CA","US",2020-03-11,177,3,2
"478","MA","US",2020-03-11,95,0,1
"479","CO","US",2020-03-11,34,0,0
"480","FL","US",2020-03-11,28,2,0
"481","IL","US",2020-03-11,25,0,2
"482","GA","US",2020-03-11,23,0,0
"483","NJ","US",2020-03-11,23,1,0
"484","TX","US",2020-03-11,21,0,0
"485","OR","US",2020-03-11,19,0,0
"486","PA","US",2020-03-11,16,0,0
"487","IA","US",2020-03-11,13,0,0
"488","IN","US",2020-03-11,11,0,0
"489","DC","US",2020-03-11,10,0,0
"490","SC","US",2020-03-11,10,0,0
"491","AZ","US",2020-03-11,9,0,1
"492","MD","US",2020-03-11,9,0,0
"493","TN","US",2020-03-11,9,0,0
"494","VA","US",2020-03-11,9,0,0
"495","KY","US",2020-03-11,8,0,0
"496","SD","US",2020-03-11,8,1,0
"497","NV","US",2020-03-11,7,0,0
"498","NC","US",2020-03-11,7,0,0
"499","LA","US",2020-03-11,6,0,0
